,County,NAME,18-24-00num,18-24-00per,25-34-00num,25-34-00per,18-24-10num,18-24-10per,25-34-10num,25-34-10per,”Population aged 18-24, number," 2006-2010 5-yr est""","Population aged 18-24, percent, 2006-2010 5-yr est","Population aged 18-24, percent, 2006-2010 5-yr est, Margin of Error","Population aged 25-34, number, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est, Margin of Error",Unnamed: 18,total00,total10
152,Cuyahoga,1222.0,153.02,6.74,259.07,11.41,153,8.35,171,9.33,126,7.01,7.88,289,16.07,7.55,,,,412.09000000000003,324
153,Cuyahoga,1223.0,142.09,6.46,196.3,8.92,142,7.44,163,8.54,298,13.94,8.01,144,6.74,4,,,,338.39,305
154,Cuyahoga,1231.0,121.0,4.6,452.0,17.19,127,5.14,379,15.33,149,5.68,6.95,302,11.51,3.44,,,,573.0,506
155,Cuyahoga,1232.0,147.0,4.75,600.0,19.4,176,5.89,480,16.07,165,5.3,5.89,512,16.45,3.91,,,,747.0,656
156,Cuyahoga,1234.0,191.0,4.86,583.0,14.82,256,6.98,499,13.62,289,7.35,4.08,529,13.46,3.51,,,,774.0,755
157,Cuyahoga,1235.01,354.0,8.54,772.0,18.62,316,9.08,532,15.28,179,4.86,3.92,699,18.97,4.93,,,,1126.0,848
158,Cuyahoga,1235.02,234.0,9.14,536.0,20.93,227,9.29,456,18.67,163,6.41,7.41,658,25.87,7.74,,,,770.0,683
159,Cuyahoga,1236.01,191.0,6.11,605.0,19.35,179,6.17,433,14.92,126,4.31,6.29,537,18.38,4.33,,,,796.0,612
160,Cuyahoga,1236.02,186.0,5.79,487.0,15.16,193,6.43,337,11.23,143,4.55,5.82,255,8.12,3.41,,,,673.0,530
161,Cuyahoga,1236.03,230.0,6.48,597.0,16.82,189,5.88,461,14.35,132,4.08,4.23,582,17.97,3.52,,,,827.0,650
162,Cuyahoga,1237.0,159.0,5.77,420.0,15.23,153,6.24,307,12.52,109,4.09,6.68,396,14.85,4.05,,,,579.0,460
163,Cuyahoga,1238.0,204.0,9.17,371.0,16.67,233,9.36,436,17.51,239,10.69,8.65,373,16.68,4.91,,,,575.0,669
164,Cuyahoga,1239.0,275.0,8.3,551.0,16.63,289,9.52,411,13.54,255,8.58,6.96,614,20.67,4.97,,,,826.0,700
165,Cuyahoga,1241.0,425.0,7.86,973.0,18.01,463,9.38,657,13.32,283,5.54,4.1,500,9.8,2.86,,,,1398.0,1120
166,Cuyahoga,1242.01,216.0,8.38,371.0,14.39,199,7.66,356,13.7,337,13.06,5.75,335,12.98,4.59,,,,587.0,555
167,Cuyahoga,1242.02,122.0,6.27,260.0,13.36,107,6.37,198,11.79,103,6.18,7.8,190,11.39,4.29,,,,382.0,305
168,Cuyahoga,1243.0,295.0,6.81,726.0,16.75,302,7.48,576,14.26,304,6.92,4.81,655,14.91,3.24,,,,1021.0,878
169,Cuyahoga,1245.0,224.0,6.26,602.0,16.82,279,8.07,442,12.79,125,3.44,4.93,678,18.63,4.37,,,,826.0,721
170,Cuyahoga,1246.0,358.0,8.33,730.0,16.98,356,8.97,525,13.22,371,9.6,4.71,553,14.3,3.59,,,,1088.0,881
171,Cuyahoga,1261.0,273.0,9.29,383.0,13.03,314,10.49,373,12.47,296,8.55,4.48,428,12.37,2.36,,,,656.0,687
172,Cuyahoga,1275.01,402.0,8.73,562.0,12.21,337,10.65,298,9.42,343,10.89,5.48,322,10.23,3.72,,,,964.0,635
173,Cuyahoga,1301.03,215.0,4.63,254.0,5.47,191,4.22,248,5.48,281,5.95,1.81,161,3.41,1.42,,,,469.0,439
174,Cuyahoga,1301.04,166.0,3.96,342.0,8.16,209,5,266,6.36,222,5.18,1.7,305,7.11,2.21,,,,508.0,475
175,Cuyahoga,1301.05,170.0,4.6,584.0,15.79,126,3.59,399,11.38,109,3.13,5.18,323,9.27,2.42,,,,754.0,525
176,Cuyahoga,1301.06,160.0,4.51,469.0,13.21,151,4.4,418,12.17,122,3.87,5.65,199,6.31,2.42,,,,629.0,569
177,Cuyahoga,1311.02,91.96,2.69,144.12,4.22,127,3.82,150,4.51,155,4.52,3.88,215,6.27,2.77,,,,236.07999999999998,277
178,Cuyahoga,1311.03,177.0,3.97,218.0,4.89,212,4.9,276,6.38,263,5.93,3.34,324,7.31,2.19,,,,395.0,488
179,Cuyahoga,1311.04,101.0,2.31,352.0,8.06,120,2.79,532,12.37,55,1.35,4.24,421,10.34,3.08,,,,453.0,652
